"Frame 0 (0 Start, QT)","Frame 1 (1 Start, DLTdv5)",Left Leg,Right Leg,Event,
4,5,start,start,2,
43,44,end,end/start,2,
51,52,start,,1,
79,80,end,,1,
94,95,start,,1,
98,99,,end,1,
108,109,,start,1,
125,126,end,,1,
141,142,start,,1,
174,175,end/start,,1,
204,205,end,end,2,
209,210,start,start,2,
237,238,end,,1,
252,253,start,,1,
265,266,,end,1,
273,274,,start,1,
321,322,end,,1,
334,335,start,,1,
360,361,end,,1,
374,375,start,,1,
380,381,,end,1,
391,392,,start,1,
436,437,,end,1,
455,456,,start,1,
471,472,end,,1,
478,479,,end,1,
483,484,start,start,2,
499,500,end,,1,
519,520,start,,1,
562,563,end,,1,
565,566,,end,1,
575,576,start,,1,
615,616,end,,1,
622,623,start,start,2,
680,681,,end,1,
689,690,,start,1,
741,742,end,,1,
758,759,,end,1,
765,766,start,start,2,
831,832,end,,1,
837,838,start,,1,
918,919,,end,1,
946,947,,start,1,
979,980,end,,1,
1016,1017,,end,1,
1049,1050,start,start,2,
1123,1124,end,,1,
1132,1133,start,,1,
1160,1161,,end,1,
1185,1186,end,,1,
